ID,Pedigree,DYSKIN,EASPIN,EPPIN,PLHTIN,PLHTUN,PLSTIN,STRCO1,STRCO2,STRRAT1,STRRAT2,YLDIN
132,(((IWD C3 SYN*2/(White DT STR Syn))-DT C1 -169-1-1)-B-B,65.375,2.875,0.81993,138.875,165.750,16.000,25.875,46.000,4.250,6.250,2278.380
133,(((IWD C3 SYN*2/(White DT STR Syn))-DT C1 -170-1-1)-B-B,68.188,3.900,0.46465,120.750,140.875,11.500,23.625,31.000,5.250,7.250,655.790
134,(((IWD C3 SYN*2/(White DT STR Syn))-DT C1 -170-1-2)-B-B,65.474,3.750,0.49149,111.000,125.000,13.750,44.500,61.875,5.625,7.625,581.710
135,(((IWD C3 SYN*2/(White DT STR Syn))-DT C1 -173-1-1)-B-B,66.250,3.125,0.74304,109.125,133.000,13.000,23.750,35.750,4.250,6.500,1398.860
136,(((IWD C3 SYN*2/(White DT STR Syn))-DT C1 -173-1-2)-B-B,65.250,2.875,0.78064,108.250,124.875,15.750,38.000,67.750,4.250,6.125,2134.410
137,(((IWD C3 SYN*2/(White DT STR Syn))-DT C1 -178-1-1)-B-B,65.125,2.938,0.75419,132.750,139.500,15.625,30.500,42.875,4.750,7.125,1414.180
138,(((IWD C3 SYN*2/(White DT STR Syn))-DT C1 -181-1-2)-B-B,69.375,2.625,0.87842,143.625,147.625,13.875,10.500,17.375,3.375,4.750,1557.530
139,(((IWD C3 SYN*2/(White DT STR Syn))-DT C1 -181-1-4)-B-B,64.500,3.500,0.49188,108.750,124.500,16.375,35.250,44.375,5.625,7.875,985.760
140,(((IWD C3 SYN*2/(White DT STR Syn))-DT C1 -193-1-2)-B-B,64.000,3.438,0.55754,119.875,141.875,16.125,50.750,72.625,6.000,7.625,1341.170
141,(((IWD C3 SYN*2/(White DT STR Syn))-DT C1 -193-1-3)-B-B,62.250,3.125,0.66909,115.500,124.125,16.250,39.750,53.750,5.375,7.625,1848.610
142,(Z. Diplo.BC4C3-W-DT C1-31-1-2)-B-B,64.331,3.000,0.77794,142.375,143.000,15.875,41.500,58.125,3.250,5.125,1844.440
143,(Z. Diplo.BC4C3-W-DT C1-33-1-1)-B-B,65.625,2.875,0.74396,142.000,144.625,16.500,6.125,12.000,4.375,6.250,1689.830
144,(Z. Diplo.BC4C3-W-DT C1-43-1-1)-B-B,64.625,2.750,0.81805,136.750,147.750,15.000,35.500,53.125,3.625,5.500,1784.980
145,(Z. Diplo.BC4C3-W-DT C1-46-1-1)-B-B,63.625,2.500,0.86323,145.250,160.875,16.250,26.000,40.250,2.750,4.125,2628.490
146,(Z. Diplo.BC4C3-W-DT C1-57-1-1)-B-B,65.750,2.563,0.80759,139.625,154.750,15.750,6.875,13.250,3.875,5.500,2039.000
147,(Z. Diplo.BC4C3-W-DT C1-62-1-2)-B-B,65.500,3.125,0.70472,91.500,96.500,15.875,35.750,55.750,3.375,5.625,1232.110
148,(Z. Diplo.BC4C3-W-DT C1-64-1-1)-B-B,65.125,3.188,0.71511,92.625,117.250,15.125,25.750,40.875,3.625,5.500,1301.720
149,(Z. Diplo.BC4C3-W-DT C1-77-1-1)-B-B,67.875,2.813,0.89339,128.625,145.500,14.125,13.125,24.000,3.250,5.125,2118.630
150,(Z. Diplo.BC4C3-W-DT C1-98-1-1)-B-B,66.250,2.563,0.809,132.000,136.625,15.875,21.875,46.750,3.625,5.250,3081.190
